               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049422,            0.018719,           0.0071557,             0.88536,             0.41028,             0.42403,             0.21249,            0.021923,           0.0037325,          0.00097775,            0.070068,           0.0033257,           0.0033257
                   1,            0.033193,            0.012227,           0.0015095,             0.95806,                0.43,             0.47061,             0.28248,            0.019134,           0.0032153,          0.00099569,            0.039936,           0.0065272,           0.0065272
                   2,            0.031805,            0.011357,           0.0014206,             0.93783,             0.42913,             0.48104,             0.25931,             0.01926,           0.0034252,            0.001012,           0.0096726,           0.0095967,           0.0095967
                   3,             0.02826,            0.011016,            0.001093,             0.94219,             0.43701,             0.48394,             0.26572,            0.017005,            0.003641,          0.00074471,            0.009406,            0.009406,            0.009406
                   4,            0.025974,            0.010963,           0.0009424,             0.95992,             0.45669,             0.48414,             0.32439,            0.014748,           0.0030248,          0.00064703,            0.009406,            0.009406,            0.009406
                   5,            0.024765,            0.010796,          0.00081301,             0.94876,             0.46063,             0.47908,             0.30863,            0.016471,           0.0031174,          0.00055641,            0.009208,            0.009208,            0.009208
                   6,            0.023217,             0.01019,          0.00093529,              0.9531,             0.45643,             0.48672,             0.32304,            0.015196,           0.0031434,          0.00057872,             0.00901,             0.00901,             0.00901
                   7,            0.022798,            0.010191,           0.0008095,             0.95693,              0.4595,             0.48733,             0.33072,            0.014934,           0.0030843,          0.00055266,            0.008812,            0.008812,            0.008812
                   8,            0.021605,           0.0098425,           0.0009005,             0.97107,              0.4487,             0.49217,             0.33488,            0.013991,           0.0032117,          0.00056776,            0.008614,            0.008614,            0.008614
                   9,            0.020195,           0.0096018,          0.00065145,             0.96412,             0.45834,             0.49205,             0.32032,            0.015094,           0.0031846,          0.00054958,            0.008416,            0.008416,            0.008416
                  10,            0.020593,           0.0093925,          0.00070943,             0.97299,             0.45276,             0.48919,             0.33592,            0.013153,           0.0029862,          0.00051973,            0.008218,            0.008218,            0.008218
                  11,            0.020213,           0.0095278,          0.00062299,             0.96407,             0.45766,              0.4899,             0.33873,            0.013467,           0.0030726,          0.00052858,             0.00802,             0.00802,             0.00802
                  12,            0.020428,           0.0094444,          0.00082834,             0.96429,             0.46073,             0.48761,             0.33568,             0.01396,           0.0029901,          0.00056845,            0.007822,            0.007822,            0.007822
                  13,            0.019626,           0.0093228,          0.00094143,             0.96834,             0.46593,             0.48951,             0.33237,            0.014576,           0.0031147,            0.000556,            0.007624,            0.007624,            0.007624
                  14,            0.019446,           0.0094538,          0.00068749,              0.9595,             0.44672,             0.48686,             0.33388,            0.014149,           0.0032651,          0.00055198,            0.007426,            0.007426,            0.007426
                  15,            0.018595,           0.0090536,          0.00050536,             0.96387,             0.45491,             0.49101,             0.34142,            0.014701,           0.0030676,          0.00053509,            0.007228,            0.007228,            0.007228
                  16,            0.018861,           0.0090855,          0.00059033,             0.96776,             0.45699,             0.48323,             0.33761,            0.013441,           0.0028661,          0.00053134,             0.00703,             0.00703,             0.00703
                  17,            0.017791,           0.0090976,          0.00076355,             0.96527,             0.46457,             0.48317,             0.34137,            0.014431,           0.0030146,          0.00054494,            0.006832,            0.006832,            0.006832
                  18,            0.018223,           0.0090144,          0.00071054,             0.97678,             0.45669,             0.49031,             0.34266,            0.013775,           0.0028814,          0.00054749,            0.006634,            0.006634,            0.006634
                  19,            0.017892,           0.0087658,          0.00086549,             0.97564,             0.43307,             0.48267,             0.33207,            0.013725,           0.0031082,          0.00052651,            0.006436,            0.006436,            0.006436
                  20,            0.017726,           0.0088001,           0.0005125,             0.95992,             0.45177,             0.49507,             0.34562,            0.013749,           0.0031031,          0.00054679,            0.006238,            0.006238,            0.006238
                  21,            0.016887,           0.0085239,          0.00070522,             0.96639,             0.46063,             0.48368,              0.3373,            0.013918,           0.0031224,          0.00054293,             0.00604,             0.00604,             0.00604
                  22,            0.017084,           0.0085388,          0.00081384,             0.96769,             0.45596,             0.48312,             0.33694,            0.014068,           0.0029704,          0.00054277,            0.005842,            0.005842,            0.005842
                  23,            0.017056,           0.0084516,          0.00070112,             0.96572,             0.44882,             0.47846,              0.3393,            0.013773,           0.0032069,          0.00054578,            0.005644,            0.005644,            0.005644
                  24,            0.016926,           0.0083611,          0.00053668,             0.96603,             0.46457,             0.48357,             0.34357,            0.013042,           0.0030708,          0.00052336,            0.005446,            0.005446,            0.005446
                  25,            0.016939,           0.0083875,          0.00069082,             0.95385,             0.46462,             0.48644,             0.34458,            0.012972,           0.0031059,          0.00051585,            0.005248,            0.005248,            0.005248
