               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082006,            0.053372,            0.025046,             0.24372,             0.53913,             0.29387,            0.089877,            0.055621,             0.01725,            0.025477,            0.070068,           0.0033258,           0.0033258
                   1,             0.05837,             0.04382,            0.021313,             0.47628,             0.61387,             0.53347,             0.22501,            0.048692,            0.016133,            0.017385,            0.039936,           0.0065273,           0.0065273
                   2,            0.054125,            0.041103,            0.014626,             0.65362,             0.61793,             0.63786,              0.2499,            0.046803,            0.015515,            0.015233,           0.0096719,           0.0095968,           0.0095968
                   3,             0.04984,            0.040546,            0.011096,             0.67219,              0.6804,             0.67202,              0.2952,            0.043534,            0.016467,            0.012228,            0.009406,            0.009406,            0.009406
                   4,             0.04647,             0.03994,           0.0094601,             0.60521,             0.70191,             0.62018,             0.20322,            0.049201,            0.016065,            0.011351,            0.009406,            0.009406,            0.009406
                   5,            0.044613,            0.039113,           0.0086297,              0.6878,             0.75761,             0.72767,             0.30587,             0.04247,            0.015089,           0.0083548,            0.009208,            0.009208,            0.009208
                   6,            0.042955,            0.038653,           0.0075076,             0.69287,             0.67391,             0.66497,             0.24278,             0.04643,            0.016364,            0.009221,             0.00901,             0.00901,             0.00901
                   7,            0.041919,            0.037554,           0.0069903,             0.79527,             0.72161,             0.77232,             0.30778,            0.042719,            0.015615,           0.0085721,            0.008812,            0.008812,            0.008812
                   8,            0.040918,            0.036992,            0.006149,             0.66992,             0.71419,             0.70333,             0.30605,            0.041205,            0.016374,            0.012154,            0.008614,            0.008614,            0.008614
                   9,            0.039966,            0.035817,           0.0057415,             0.69663,             0.71695,             0.70159,             0.28315,            0.042977,            0.015926,           0.0099697,            0.008416,            0.008416,            0.008416
                  10,             0.03962,            0.035545,           0.0054439,             0.80214,             0.72931,             0.79267,             0.35582,            0.038789,            0.015493,           0.0070484,            0.008218,            0.008218,            0.008218
                  11,            0.038468,            0.035365,            0.005184,             0.77625,               0.736,             0.75608,             0.35627,            0.039517,            0.015822,           0.0081196,             0.00802,             0.00802,             0.00802
                  12,            0.038076,            0.034919,           0.0047179,             0.74265,             0.73609,              0.7387,             0.29207,             0.04321,            0.016458,            0.010291,            0.007822,            0.007822,            0.007822
                  13,            0.037909,            0.035349,           0.0047748,             0.81611,             0.74783,             0.80266,             0.35466,             0.04014,            0.015961,           0.0073774,            0.007624,            0.007624,            0.007624
                  14,            0.036984,             0.03372,           0.0040214,             0.76496,             0.76937,              0.7817,             0.32326,            0.042079,            0.016012,           0.0074479,            0.007426,            0.007426,            0.007426
                  15,            0.036813,            0.034355,           0.0040193,             0.77045,             0.76407,             0.78136,             0.34818,            0.040363,            0.015302,           0.0095325,            0.007228,            0.007228,            0.007228
                  16,            0.036216,            0.034081,           0.0038428,             0.78041,             0.78864,             0.81278,             0.35607,            0.040315,            0.015457,           0.0061386,             0.00703,             0.00703,             0.00703
                  17,            0.035729,             0.03437,           0.0039146,             0.80706,              0.7587,             0.79841,             0.34009,            0.040969,            0.015417,           0.0064867,            0.006832,            0.006832,            0.006832
                  18,             0.03567,            0.033376,           0.0036537,             0.79145,             0.78817,              0.8052,             0.36967,            0.040064,            0.015386,           0.0067412,            0.006634,            0.006634,            0.006634
                  19,            0.034979,            0.032273,           0.0033655,             0.81606,             0.83151,             0.84905,             0.38274,            0.039232,            0.014899,           0.0046499,            0.006436,            0.006436,            0.006436
                  20,            0.034825,            0.032709,           0.0033918,             0.85109,             0.73718,             0.79987,             0.36534,            0.039095,            0.016358,           0.0064052,            0.006238,            0.006238,            0.006238
