               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084558,            0.038356,            0.025194,             0.56995,             0.37121,             0.31125,             0.13262,            0.053444,            0.022402,            0.019543,            0.070201,            0.003311,            0.003311
                   1,            0.059603,            0.031327,            0.015755,             0.77321,             0.48417,             0.48773,             0.23293,            0.049035,            0.020121,           0.0078687,            0.040013,           0.0064564,           0.0064564
                   2,            0.055547,            0.029829,           0.0089251,              0.8876,             0.51597,             0.56451,             0.26911,            0.045989,            0.019583,           0.0051371,           0.0096369,           0.0094132,           0.0094132
                   3,            0.048847,            0.029085,           0.0072251,              0.9123,             0.54134,             0.59831,             0.32735,            0.038209,            0.019542,           0.0050246,           0.0091514,           0.0091514,           0.0091514
                   4,            0.044896,            0.028605,           0.0064409,             0.93627,             0.55261,             0.60886,             0.35604,            0.035696,            0.018709,           0.0041039,           0.0091514,           0.0091514,           0.0091514
                   5,            0.042592,            0.027767,           0.0057462,              0.9332,             0.55628,             0.60696,             0.36042,            0.035024,            0.018459,           0.0039771,           0.0088686,           0.0088686,           0.0088686
                   6,            0.040608,            0.027692,           0.0053298,             0.93864,             0.56721,             0.61854,             0.36257,            0.034359,            0.017872,           0.0035333,           0.0085857,           0.0085857,           0.0085857
                   7,            0.039465,            0.027197,           0.0051172,             0.93336,              0.5573,             0.61724,             0.37091,            0.033563,            0.017918,           0.0036105,           0.0083029,           0.0083029,           0.0083029
                   8,            0.038082,            0.027543,           0.0047152,             0.94499,             0.57628,             0.63314,             0.37916,            0.032621,             0.01741,           0.0027575,             0.00802,             0.00802,             0.00802
                   9,             0.03748,            0.026546,           0.0044012,             0.94498,             0.58464,              0.6436,             0.39174,            0.031721,             0.01715,           0.0025252,           0.0077371,           0.0077371,           0.0077371
                  10,            0.036528,            0.026835,           0.0043524,             0.94642,             0.58103,             0.64373,             0.38784,               0.032,            0.017142,           0.0025579,           0.0074543,           0.0074543,           0.0074543
                  11,            0.035934,            0.025712,            0.003934,             0.94641,             0.58428,             0.66056,             0.40437,            0.031316,            0.016819,            0.002232,           0.0071714,           0.0071714,           0.0071714
                  12,            0.035243,            0.026152,           0.0039892,             0.95011,             0.58637,             0.67403,             0.40888,            0.030796,            0.016883,           0.0020663,           0.0068886,           0.0068886,           0.0068886
                  13,            0.034793,            0.025891,           0.0036428,             0.60898,             0.66447,              0.6603,             0.40333,            0.031058,            0.016978,           0.0025253,           0.0066057,           0.0066057,           0.0066057
                  14,            0.034761,            0.025602,           0.0038172,             0.65702,             0.68588,             0.68571,             0.41851,            0.030891,            0.016467,           0.0021133,           0.0063229,           0.0063229,           0.0063229
                  15,            0.033779,            0.025214,           0.0035104,             0.66066,             0.70896,             0.71846,             0.43536,            0.030077,            0.016359,           0.0018176,             0.00604,             0.00604,             0.00604
                  16,            0.033652,            0.025692,           0.0034547,              0.6754,             0.72631,             0.73092,             0.44595,             0.02915,            0.015969,           0.0016525,           0.0057571,           0.0057571,           0.0057571
                  17,            0.033694,             0.02495,            0.003243,             0.74096,             0.72533,             0.74867,             0.45248,            0.029269,            0.015843,           0.0016988,           0.0054743,           0.0054743,           0.0054743
                  18,             0.03311,            0.025166,           0.0032969,             0.71417,             0.71101,             0.72277,             0.44616,              0.0288,            0.015663,           0.0016229,           0.0051914,           0.0051914,           0.0051914
                  19,            0.032692,            0.024385,           0.0031655,             0.75083,             0.73647,             0.74384,             0.45377,            0.028932,            0.016179,           0.0020436,           0.0049086,           0.0049086,           0.0049086
                  20,            0.032333,            0.024067,           0.0027795,              0.7956,             0.75972,             0.80303,             0.48586,            0.028743,            0.015679,           0.0014262,           0.0046257,           0.0046257,           0.0046257
                  21,            0.032149,            0.024539,           0.0028564,             0.81041,             0.77594,             0.81614,             0.50755,            0.028181,            0.015186,           0.0012952,           0.0043429,           0.0043429,           0.0043429
                  22,            0.031594,            0.023754,           0.0025331,             0.79957,             0.77888,             0.83179,             0.51472,            0.028176,            0.015158,           0.0012363,             0.00406,             0.00406,             0.00406
                  23,            0.031628,             0.02378,           0.0026433,             0.80273,              0.7816,             0.80755,             0.49423,            0.028139,            0.015123,           0.0012506,           0.0037771,           0.0037771,           0.0037771
